,Sr No,Date,Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount in USD,Funding_Category,Amount in Rs(Cr),Funding_Round,Investor_Rank_x,Power_Score_x,Investor_Rank_y,Power_Score_y,Influence_Index,Final_Rank
144,96,28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,"""equanimity ventures""",seed round,140000000,Very Large,1273.58,Seed,73,0.971500419,73,0.971500419,0.041238774,108
145,97,30-05-2019,GlowRoad,E-commerce,Retail,Bengaluru,"""korea investment partners""",series b,11500000,Very Large,104.6155,Series B,308,0.810561609,308,0.810561609,0.006786942,566
146,97,30-05-2019,GlowRoad,E-commerce,Retail,Bengaluru,"""  vertex ventures""",series b,11500000,Very Large,104.6155,Series B,135,0.941044985,135,0.941044985,0.023909325,199
147,98,31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,"""sixth sense ventures""",series b,5600000,Very Large,50.9432,Series B,269,0.846046382,269,0.846046382,0.020964287,220
148,99,16-04-2019,Kuvera,Finance,Wealth Management,Bengaluru,"""eight roads""",series a,45000000,Very Large,409.365,Series A,156,0.926096675,156,0.926096675,0.015768548,279
149,100,12-04-2019,Medlife,E-commerce,Online Medicine,Bengaluru,"""prasid uno family trust""",private equity,17000000,Very Large,154.649,Private Equity,255,0.854428611,255,0.854428611,0.008261534,470
150,101,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"""unilever""",private equity,430665,Medium,3.917759505,Private Equity,567,0.145152277,567,0.145152277,0.003819168,711
151,101,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"""  beehive capital advisor""",private equity,430665,Medium,3.917759505,Private Equity,567,0.145152277,567,0.145152277,0.003819168,711
152,101,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"""  abcom investments""",private equity,430665,Medium,3.917759505,Private Equity,567,0.145152277,567,0.145152277,0.003819168,711
153,101,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"""  parekh marine transport""",private equity,430665,Medium,3.917759505,Private Equity,567,0.145152277,567,0.145152277,0.003819168,711
154,101,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,""" """,private equity,430665,Medium,3.917759505,Private Equity,36,0.988823694,36,0.988823694,0.265038638,6
155,102,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"""orchid india""",series b,3591375,Large,32.67073838,Series B,432,0.685806091,432,0.685806091,0.004666579,623
156,102,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"""  hornbill orchid india fund""",series b,3591375,Large,32.67073838,Series B,432,0.685806091,432,0.685806091,0.004666579,623
157,102,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"""  chiratae ventures (formerly idg ventures)""",series b,3591375,Large,32.67073838,Series B,432,0.685806091,432,0.685806091,0.004666579,623
158,102,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"""  3one4 capital""",series b,3591375,Large,32.67073838,Series B,260,0.851634535,260,0.851634535,0.013979255,319
159,102,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"""  lasmer nv""",series b,3591375,Large,32.67073838,Series B,432,0.685806091,432,0.685806091,0.004666579,623
160,103,12-04-2019,Azah,Health and Wellness,Organic wellness,Gurugram,"""unnamed angel investors""",seed funding,200000,Medium,1.8194,Seed,628,0.065101984,628,0.065101984,0.003757325,767
161,104,11-04-2019,Setu,Fintech,Banking,Bengaluru,"""lightspeed india partners""",seed funding,3500000,Large,31.8395,Seed,218,0.8795753,218,0.8795753,0.022071805,212
162,105,10-04-2019,Toppr,Edtech,E-learning,Mumbai,"""milestone""",debt and preference capital,6320820,Very Large,57.50049954,Debt,370,0.75803297,370,0.75803297,0.005398364,594
163,106,10-04-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,"""supera pte ltd""",inhouse funding,2443495,Large,22.22847402,Other,460,0.616932104,460,0.616932104,0.004358823,637
164,107,10-04-2019,Unacademy,Edtech,E-learning,Bengaluru,"""kalyan krishnamurthy""",seed/ angel funding,307000,Medium,2.792779,Seed,597,0.113718916,597,0.113718916,0.003786013,738
165,108,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"""sequoia india""",series b,26000000,Very Large,236.522,Series B,31,0.990220732,31,0.990220732,0.116842208,34
166,108,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"""  tiger global management""",series b,26000000,Very Large,236.522,Series B,59,0.979603241,59,0.979603241,0.045559089,94
167,108,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"""  accel partners""",series b,26000000,Very Large,236.522,Series B,23,0.993014809,23,0.993014809,0.14884878,20
168,109,19-04-2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,"""sixth sense ventures""",series a,3000000,Large,27.291,Series A,269,0.846046382,269,0.846046382,0.020964287,220
169,110,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"""bac acquisitions""",debt,1750000,Large,15.91975,Debt,495,0.431824532,495,0.431824532,0.004172892,648
170,110,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"""  unifi aif""",debt,1750000,Large,15.91975,Debt,495,0.431824532,495,0.431824532,0.004172892,648
171,110,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"""  brd securities""",debt,1750000,Large,15.91975,Debt,495,0.431824532,495,0.431824532,0.004172892,648
172,110,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"""  northern r capital""",debt,1750000,Large,15.91975,Debt,495,0.431824532,495,0.431824532,0.004172892,648
173,111,17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurugram,"""new atlantic ventures""",venture round,5000000,Large,45.485,Other,397,0.727437832,397,0.727437832,0.005044242,606
174,112,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"""021 capita""",series a,3000000,Large,27.291,Series A,444,0.645850796,444,0.645850796,0.004508027,629
175,112,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"""  binny bansal""",series a,3000000,Large,27.291,Series A,62,0.978765018,62,0.978765018,0.065167309,59
176,113,01-02-2019,FleetX,AI,Logistics,Gurgaon,"""india quotient and letsventure\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\xe2\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x80\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x99s angel fund""",pre series a,1750000,Large,15.91975,Series A,495,0.431824532,495,0.431824532,0.004172892,648
177,114,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"""sequoia capital and temasek holdings""",series d,226000000,Very Large,2055.922,Other,54,0.982956133,54,0.982956133,0.064296031,60
178,114,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"""  edbi""",series d,226000000,Very Large,2055.922,Other,49,0.985191394,49,0.985191394,0.06188751,65
179,114,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"""  burda principal investments""",series d,226000000,Very Large,2055.922,Other,54,0.982956133,54,0.982956133,0.064296031,60
180,114,08-02-2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"""  and sofina""",series d,226000000,Very Large,2055.922,Other,54,0.982956133,54,0.982956133,0.064296031,60
181,115,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"""letsventure""",series a,600000,Medium,5.4582,Series A,404,0.718077675,404,0.718077675,0.034005787,140
182,115,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"""  pitchright venture""",series a,600000,Medium,5.4582,Series A,548,0.195445655,548,0.195445655,0.003864568,692
183,115,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"""  91springboard""",series a,600000,Medium,5.4582,Series A,451,0.628387818,451,0.628387818,0.007938441,495
184,115,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"""  al nour international holdings and mark v investments""",series a,600000,Medium,5.4582,Series A,548,0.195445655,548,0.195445655,0.003864568,692
185,116,14-02-2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,"""didi chuxing""",equity,100000000,Very Large,909.7,Other,95,0.960743224,95,0.960743224,0.030514468,165
186,117,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"""sequoia india""",series c,110000000,Very Large,1000.67,Series C,31,0.990220732,31,0.990220732,0.116842208,34
187,117,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"""  hillhouse capital""",series c,110000000,Very Large,1000.67,Series C,73,0.971500419,73,0.971500419,0.034942478,135
188,117,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,"""  alphabet\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\xe2\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x80\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x99s growth investment arm capital g and axis bank""",series c,110000000,Very Large,1000.67,Series C,86,0.965632858,86,0.965632858,0.033195545,147
189,118,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"""iron pillar""",series d,22000000,Very Large,200.134,Other,223,0.874126851,223,0.874126851,0.009602072,441
190,118,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"""  perceptive advisors""",series d,22000000,Very Large,200.134,Other,223,0.874126851,223,0.874126851,0.009602072,441
191,118,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"""  romulus capital and kalaari capital""",series d,22000000,Very Large,200.134,Other,223,0.874126851,223,0.874126851,0.009602072,441
192,119,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"""massif""",debt-funding,5000000,Large,45.485,Debt,397,0.727437832,397,0.727437832,0.005044242,606
193,119,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"""  a dutch government fund""",debt-funding,5000000,Large,45.485,Debt,397,0.727437832,397,0.727437832,0.005044242,606
194,120,04-12-2018,Manch,Social Media,Hyperlocal Content,Delhi,"""stellaris venture partners""",seed funding,700000,Medium,6.3679,Seed,302,0.818664431,302,0.818664431,0.020378226,222
195,121,01-12-2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,"""steadview capital and vy capital.""",series d,50000000,Very Large,454.85,Other,147,0.93210394,147,0.93210394,0.017109086,262
196,122,02-12-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,"""individual investors""",pre-series a,800000,Medium,7.2776,Series A,436,0.665549036,436,0.665549036,0.015362095,298
197,123,02-12-2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,"""individual investors""",pre-series a,572000,Medium,5.203484,Series A,436,0.665549036,436,0.665549036,0.015362095,298
198,124,04-12-2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,"""omphalos ventures india llp""",seed funding,143000,Medium,1.300871,Seed,646,0.030455434,646,0.030455434,0.003742043,785
199,125,06-12-2018,ShopKirana,B2B,eCommerce,Indore,"""info edge""",seed funding,2000000,Large,18.194,Seed,419,0.695725063,419,0.695725063,0.011780462,375
200,125,06-12-2018,ShopKirana,B2B,eCommerce,Indore,"""  aet fund""",seed funding,2000000,Large,18.194,Seed,482,0.586197262,482,0.586197262,0.004239919,643
201,125,06-12-2018,ShopKirana,B2B,eCommerce,Indore,"""  akatsuki and incubate fund from japan and better capital angellist syndicate.""",seed funding,2000000,Large,18.194,Seed,482,0.586197262,482,0.586197262,0.004239919,643
202,126,06-12-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"""venture highway""",series a,3500000,Large,31.8395,Series A,357,0.76459905,357,0.76459905,0.012321198,351
203,126,06-12-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"""  gree ventures""",series a,3500000,Large,31.8395,Series A,319,0.80217938,319,0.80217938,0.012934885,338
204,126,06-12-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"""  space matrix""",series a,3500000,Large,31.8395,Series A,434,0.675607712,434,0.675607712,0.00464208,624
205,126,06-12-2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"""  individual investors""",series a,3500000,Large,31.8395,Series A,155,0.926515787,155,0.926515787,0.016356305,271
206,127,01-11-2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,"""lead angels network""",seed/ angel funding,138995,Medium,1.264437515,Seed,608,0.096675049,608,0.096675049,0.007464247,555
207,128,03-11-2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"""norwest venture partners""",series d,27799000,Very Large,252.887503,Other,105,0.95585359,105,0.95585359,0.042265891,105
208,128,03-11-2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"""  cdc group""",series d,27799000,Very Large,252.887503,Other,200,0.896479464,200,0.896479464,0.011156828,416
209,128,03-11-2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"""  the uk\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\xe2\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x80\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x99s development finance institution and p surendra pai""",series d,27799000,Very Large,252.887503,Other,200,0.896479464,200,0.896479464,0.011156828,416
210,129,06-11-2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"""shunwei capital""",series c,50000000,Very Large,454.85,Series C,130,0.942442023,130,0.942442023,0.021137545,218
211,129,06-11-2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"""  dst partners and rps ventures""",series c,50000000,Very Large,454.85,Series C,147,0.93210394,147,0.93210394,0.017109086,262
212,130,08-11-2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,"""undisclosed""",series a,500000,Medium,4.5485,Series A,191,0.906119028,191,0.906119028,0.045014353,95
213,131,08-11-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"""rb investments""",equity,1000000,Medium,9.097,Other,194,0.900111763,194,0.900111763,0.033887082,141
214,131,08-11-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"""  singapore""",equity,1000000,Medium,9.097,Other,448,0.634255379,448,0.634255379,0.007948275,492
215,132,12-11-2018,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru","""tiger global""",series a,1000000,Medium,9.097,Series A,27,0.99161777,27,0.99161777,0.133123779,27
216,133,12-11-2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,"""mayfield fund""",series b,1300000,Large,11.8261,Series B,506,0.274797429,506,0.274797429,0.004052244,657
217,134,13-11-2018,DriveU,Transport,On-Demand Drivers,Bengaluru,"""stevens creek ventures""",mezzanine,1000000,Medium,9.097,Other,517,0.24015088,517,0.24015088,0.003971811,664
218,135,14-11-2018,CleanseCar,Services,Car Wash,Bengaluru,"""venture catalysts""",seed/ angel funding,500000,Medium,4.5485,Seed,309,0.809723386,309,0.809723386,0.049696374,84
219,136,19-11-2018,Automation Anywhere,Automation,Robotics,California,"""softbank vision fund""",series b,300000000,Very Large,2729.1,Series B,10,0.996926516,10,0.996926516,0.151795848,17
220,137,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"""sistema asia fund""",series b (extension),6000000,Very Large,54.582,Series B,110,0.953059514,110,0.953059514,0.034147024,139
221,137,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"""  vc samsung next""",series b (extension),6000000,Very Large,54.582,Series B,377,0.751606594,377,0.751606594,0.00531235,598
222,137,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"""  chiratae ventures""",series b (extension),6000000,Very Large,54.582,Series B,377,0.751606594,377,0.751606594,0.00531235,598
223,137,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"""  inventus capital""",series b (extension),6000000,Very Large,54.582,Series B,230,0.869796032,230,0.869796032,0.021694941,213
224,137,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"""  blume ventures and innoven capital.""",series b (extension),6000000,Very Large,54.582,Series B,377,0.751606594,377,0.751606594,0.00531235,598
225,138,21-11-2018,Genius Corner,Education,Personalized Learning,Noida,"""individual investors""",seed funding,278000,Medium,2.528966,Seed,436,0.665549036,436,0.665549036,0.015362095,298
226,139,22-11-2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,"""teachers insurance and annuity association (tiaa)""",equity based funding,31000000,Very Large,282.007,Other,190,0.906817547,190,0.906817547,0.012015041,361
227,140,22-11-2018,Skillbox,Social Network,Art,Gurugram,"""individual investors""",seed funding,1750000,Large,15.91975,Seed,436,0.665549036,436,0.665549036,0.015362095,298
228,141,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"""stellaris venture partners and kalaari capital""",series a,3400000,Large,30.9298,Series A,436,0.665549036,436,0.665549036,0.00461527,625
229,141,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"""  rajan anandan from google""",series a,3400000,Large,30.9298,Series A,436,0.665549036,436,0.665549036,0.00461527,625
230,141,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"""  dilip khandwelwal from sap labs india""",series a,3400000,Large,30.9298,Series A,436,0.665549036,436,0.665549036,0.00461527,625
231,141,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"""  and amrish rau from payu india""",series a,3400000,Large,30.9298,Series A,436,0.665549036,436,0.665549036,0.00461527,625
232,142,24-11-2018,Engineer.ai,Software,AI Platform,India/US,"""lakestar and jungle ventures""",series a,29500000,Very Large,268.3615,Series A,195,0.899552948,195,0.899552948,0.011612879,393
233,142,24-11-2018,Engineer.ai,Software,AI Platform,India/US,"""  softbank\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\xe2\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x80\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\x99s deepcore.""",series a,29500000,Very Large,268.3615,Series A,195,0.899552948,195,0.899552948,0.011612879,393
234,143,25-11-2018,InCred Finance,Finance,SME Lending,India,"""paragon partners""",private equity,42000000,Very Large,382.074,Private Equity,143,0.93685387,143,0.93685387,0.017654387,254
235,143,25-11-2018,InCred Finance,Finance,SME Lending,India,"""  individual investors""",private equity,42000000,Very Large,382.074,Private Equity,155,0.926515787,155,0.926515787,0.016356305,271
